gene_id	PC1_loading	abs_loading	direction
ENSG00000177575	0.150765030219218	0.150765030219218	PC1_POS
ENSG00000187239	0.148843322073372	0.148843322073372	PC1_POS
ENSG00000037280	0.148440683575283	0.148440683575283	PC1_POS
ENSG00000239264	0.148079096662613	0.148079096662613	PC1_POS
ENSG00000162692	0.147993792584221	0.147993792584221	PC1_POS
ENSG00000019169	0.147974922016036	0.147974922016036	PC1_POS
ENSG00000088827	0.147527734861535	0.147527734861535	PC1_POS
ENSG00000165457	0.147398187153911	0.147398187153911	PC1_POS
ENSG00000176788	0.147347432510821	0.147347432510821	PC1_POS
ENSG00000244405	0.147125761314067	0.147125761314067	PC1_POS
ENSG00000181631	0.146807950971787	0.146807950971787	PC1_POS
ENSG00000141968	0.146385622458974	0.146385622458974	PC1_POS
ENSG00000157827	0.146292174333236	0.146292174333236	PC1_POS
ENSG00000105609	0.145913498863195	0.145913498863195	PC1_POS
ENSG00000182578	0.145703213129207	0.145703213129207	PC1_POS
ENSG00000167601	0.145491113905785	0.145491113905785	PC1_POS
ENSG00000157933	0.144277664716024	0.144277664716024	PC1_POS
ENSG00000010327	0.14406494213513	0.14406494213513	PC1_POS
ENSG00000197766	0.143772124606067	0.143772124606067	PC1_POS
ENSG00000073754	0.14355505992023	0.14355505992023	PC1_POS
ENSG00000203710	0.143485202089633	0.143485202089633	PC1_POS
ENSG00000215421	0.14320222688488	0.14320222688488	PC1_POS
ENSG00000178502	0.142830505014229	0.142830505014229	PC1_POS
ENSG00000118257	0.14272250741509	0.14272250741509	PC1_POS
ENSG00000092068	0.142706604520767	0.142706604520767	PC1_POS
ENSG00000087237	0.142548672857731	0.142548672857731	PC1_POS
ENSG00000172534	0.142113494776038	0.142113494776038	PC1_POS
ENSG00000145850	0.141600156778366	0.141600156778366	PC1_POS
ENSG00000015133	0.141480732733397	0.141480732733397	PC1_POS
ENSG00000145708	0.141207305230553	0.141207305230553	PC1_POS
ENSG00000181291	0.141067010768646	0.141067010768646	PC1_POS
ENSG00000082397	0.140992463811363	0.140992463811363	PC1_POS
ENSG00000126759	0.140684120718019	0.140684120718019	PC1_POS
ENSG00000105426	0.140278184852399	0.140278184852399	PC1_POS
ENSG00000185088	-0.139438061782924	0.139438061782924	PC1_NEG
ENSG00000130749	0.139393570155359	0.139393570155359	PC1_POS
ENSG00000164100	0.139217163169679	0.139217163169679	PC1_POS
ENSG00000183963	0.13840656774548	0.13840656774548	PC1_POS
ENSG00000164442	0.137917900884872	0.137917900884872	PC1_POS
ENSG00000127418	0.137576993936754	0.137576993936754	PC1_POS
ENSG00000241360	0.135878096782063	0.135878096782063	PC1_POS
ENSG00000066735	0.133460304240752	0.133460304240752	PC1_POS
ENSG00000205765	0.133277262629694	0.133277262629694	PC1_POS
ENSG00000187764	0.132346782115771	0.132346782115771	PC1_POS
ENSG00000104880	0.13152589959751	0.13152589959751	PC1_POS
ENSG00000184574	0.130738562581386	0.130738562581386	PC1_POS
ENSG00000271601	0.130460414953745	0.130460414953745	PC1_POS
ENSG00000187193	0.129764048538607	0.129764048538607	PC1_POS
ENSG00000197714	0.128019792094308	0.128019792094308	PC1_POS
ENSG00000139946	0.126618514082313	0.126618514082313	PC1_POS
